Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2007","2007","7021","Annual value","LCU","184","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2008","2008","7021","Annual value","LCU","130","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2009","2009","7021","Annual value","LCU","80","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2010","2010","7021","Annual value","LCU","157.3","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2011","2011","7021","Annual value","LCU","190","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2012","2012","7021","Annual value","LCU","212.3","A","Official figure"
"PP","Producer Prices","372","Ireland","5530","Producer Price (LCU/tonne)","0115","Barley","2013","2013","7021","Annual value","LCU","165.4","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1991","1991","7021","Annual value","SLC","137.1","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1992","1992","7021","Annual value","SLC","129.5","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1993","1993","7021","Annual value","SLC","120.6","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1994","1994","7021","Annual value","SLC","110.5","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1995","1995","7021","Annual value","SLC","133.3","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1996","1996","7021","Annual value","SLC","115.5","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1997","1997","7021","Annual value","SLC","96.5","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1998","1998","7021","Annual value","SLC","95.2","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","1999","1999","7021","Annual value","SLC","104.1","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2000","2000","7021","Annual value","SLC","101.6","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2001","2001","7021","Annual value","SLC","104.1","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2002","2002","7021","Annual value","SLC","94","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2003","2003","7021","Annual value","SLC","109","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2004","2004","7021","Annual value","SLC","98","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2005","2005","7021","Annual value","SLC","99","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2006","2006","7021","Annual value","SLC","110","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2007","2007","7021","Annual value","SLC","184","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2008","2008","7021","Annual value","SLC","130","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2009","2009","7021","Annual value","SLC","80","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2010","2010","7021","Annual value","SLC","157.3","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2011","2011","7021","Annual value","SLC","190","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2012","2012","7021","Annual value","SLC","212.3","A","Official figure"
"PP","Producer Prices","372","Ireland","5531","Producer Price (SLC/tonne)","0115","Barley","2013","2013","7021","Annual value","SLC","165.4","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1991","1991","7021","Annual value","USD","173.8","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1992","1992","7021","Annual value","USD","173.5","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1993","1993","7021","Annual value","USD","140.3","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1994","1994","7021","Annual value","USD","130.1","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1995","1995","7021","Annual value","USD","168.3","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1996","1996","7021","Annual value","USD","145.6","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1997","1997","7021","Annual value","USD","115.2","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1998","1998","7021","Annual value","USD","106.8","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","1999","1999","7021","Annual value","USD","110.9","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2000","2000","7021","Annual value","USD","93.6","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2001","2001","7021","Annual value","USD","93.2","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2002","2002","7021","Annual value","USD","88.5","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2003","2003","7021","Annual value","USD","123","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2004","2004","7021","Annual value","USD","121.7","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2005","2005","7021","Annual value","USD","123.1","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2006","2006","7021","Annual value","USD","138","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2007","2007","7021","Annual value","USD","251.8","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2008","2008","7021","Annual value","USD","190.4","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2009","2009","7021","Annual value","USD","111.1","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2010","2010","7021","Annual value","USD","208.3","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2011","2011","7021","Annual value","USD","264.1","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2012","2012","7021","Annual value","USD","272.8","A","Official figure"
"PP","Producer Prices","372","Ireland","5532","Producer Price (USD/tonne)","0115","Barley","2013","2013","7021","Annual value","USD","219.6","A","Official figure"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1991","1991","7021","Annual value","","63.65","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1992","1992","7021","Annual value","","60.12","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1993","1993","7021","Annual value","","55.99","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1994","1994","7021","Annual value","","51.27","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1995","1995","7021","Annual value","","61.88","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1996","1996","7021","Annual value","","53.63","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1997","1997","7021","Annual value","","44.79","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1998","1998","7021","Annual value","","44.2","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","1999","1999","7021","Annual value","","48.33","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2000","2000","7021","Annual value","","47.15","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2001","2001","7021","Annual value","","48.33","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2002","2002","7021","Annual value","","43.63","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2003","2003","7021","Annual value","","50.59","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2004","2004","7021","Annual value","","45.49","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2005","2005","7021","Annual value","","45.95","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2006","2006","7021","Annual value","","51.06","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2007","2007","7021","Annual value","","85.41","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2008","2008","7021","Annual value","","60.34","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2009","2009","7021","Annual value","","37.13","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2010","2010","7021","Annual value","","73","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2011","2011","7021","Annual value","","88.19","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2012","2012","7021","Annual value","","98.54","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2013","2013","7021","Annual value","","76.77","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2014","2014","7021","Annual value","","108.7","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2015","2015","7021","Annual value","","84.78","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2016","2016","7021","Annual value","","106.52","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2017","2017","7021","Annual value","","138.07","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2018","2018","7021","Annual value","","148.55","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2019","2019","7021","Annual value","","158.15","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2020","2020","7021","Annual value","","151.52","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0115","Barley","2021","2021","7021","Annual value","","146.51","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0112","Maize (corn)","1991","1991","7021","Annual value","","82.14","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0112","Maize (corn)","1992","1992","7021","Annual value","","78.03","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0112","Maize (corn)","1993","1993","7021","Annual value","","78.03","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0112","Maize (corn)","1994","1994","7021","Annual value","","73.93","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0112","Maize (corn)","1995","1995","7021","Annual value","","82.14","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0112","Maize (corn)","1996","1996","7021","Annual value","","76.97","I","Imputed value"
"PP","Producer Prices","372","Ireland","5539","Producer Price Index (2014-2016 = 100)","0112","Maize (corn)","1997","1997","7021","Annual value","","67.54","I","Imputed value"
