"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02818V03389","Agricultural Product","UNIT","VALUE"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","012112","Calves","Base 2015=100","70.3472896"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","01212","Pigs","Base 2015=100","118.2025894"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","01213","Sheep","Base 2015=100","109.4367939"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","01214","Poultry","Base 2015=100","100.2631906"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0122","Animal products","Base 2015=100","109.1946909"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","01221","Milk","Base 2015=100","109.9223477"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","01222","Eggs","Base 2015=100","99.1148043"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","012231","Wool","Base 2015=100","12.84940714"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","02","Agricultural input price index","Base 2015=100","102.1935722"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","021","Seeds","Base 2015=100","101.9974573"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","022","Energy","Base 2015=100","98.04601177"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0221","Electricity","Base 2015=100","105.8423836"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0222","Motor fuel","Base 2015=100","95.22843506"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0223","Lubricants","Base 2015=100","104.9109965"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","023","Fertilisers","Base 2015=100","81.31866638"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0231","Straight fertilisers","Base 2015=100","77.22499238"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0232","Compound fertilisers","Base 2015=100","82.17499838"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","02321","PK fertilisers","Base 2015=100","90.08048018"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","02322","NPK fertilisers","Base 2015=100","81.97785877"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0233","Other fertilisers","Base 2015=100","105.7142857"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","024","Plant protection products","Base 2015=100","104.0715325"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","025","Veterinary expenses","Base 2015=100","109.032921"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","026","Feeding stuffs","Base 2015=100","108.3108166"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0261","Straight feeding stuffs","Base 2015=100","111.0835965"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","0262","Compound feeding stuffs","Base 2015=100","108.1689663"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","02621","Compound feeding stuffs for calves","Base 2015=100","108.8210325"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","02622","Compound feeding stuffs for cattle excluding calves","Base 2015=100","106.8527936"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","02623","Compound feeding stuffs for pigs","Base 2015=100","114.9610403"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","02624","Compound feeding stuffs for poultry","Base 2015=100","105.0925241"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","02625","Other compound feeding stuffs","Base 2015=100","106.3291912"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","030","Maintenance of materials and buildings","Base 2015=100","105.0797883"
"AHA04","Agricultural Input and Output Price Indices","2020","2020","029","Other goods and services","Base 2015=100","105.6962316"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","01","Agricultural output price index","Base 2015=100","116.0214493"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","011","Crop output","Base 2015=100","123.8039366"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0111","Cereals including seeds","Base 2015=100","131.66925"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","01121","Fruit and Vegetables","Base 2015=100","107.2649179"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0113","Potatoes including seeds","Base 2015=100","145.8599797"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","012","Animal output","Base 2015=100","115.0014063"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0121","Animals","Base 2015=100","107.1524068"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","01211","Cattle","Base 2015=100","104.6611608"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","012111","Cattle excluding calves","Base 2015=100","104.7728631"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","012112","Calves","Base 2015=100","84.86310605"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","01212","Pigs","Base 2015=100","106.8866163"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","01213","Sheep","Base 2015=100","133.1682649"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","01214","Poultry","Base 2015=100","102.0752331"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0122","Animal products","Base 2015=100","126.8399725"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","01221","Milk","Base 2015=100","128.026914"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","01222","Eggs","Base 2015=100","103.4440312"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","012231","Wool","Base 2015=100","13.48806885"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","02","Agricultural input price index","Base 2015=100","111.6220175"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","021","Seeds","Base 2015=100","109.4007437"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","022","Energy","Base 2015=100","112.9111543"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0221","Electricity","Base 2015=100","118.9694194"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0222","Motor fuel","Base 2015=100","111.1534107"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0223","Lubricants","Base 2015=100","109.1502545"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","023","Fertilisers","Base 2015=100","101.7574095"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0231","Straight fertilisers","Base 2015=100","102.0704946"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0232","Compound fertilisers","Base 2015=100","101.1415973"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","02321","PK fertilisers","Base 2015=100","104.1191364"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","02322","NPK fertilisers","Base 2015=100","101.0673461"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0233","Other fertilisers","Base 2015=100","108.5714286"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","024","Plant protection products","Base 2015=100","104.9413618"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","025","Veterinary expenses","Base 2015=100","110.3289512"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","026","Feeding stuffs","Base 2015=100","119.4896225"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0261","Straight feeding stuffs","Base 2015=100","128.1569055"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","0262","Compound feeding stuffs","Base 2015=100","119.0462202"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","02621","Compound feeding stuffs for calves","Base 2015=100","119.750722"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","02622","Compound feeding stuffs for cattle excluding calves","Base 2015=100","119.7351569"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","02623","Compound feeding stuffs for pigs","Base 2015=100","125.0841384"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","02624","Compound feeding stuffs for poultry","Base 2015=100","110.9259024"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","02625","Other compound feeding stuffs","Base 2015=100","117.8912188"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","030","Maintenance of materials and buildings","Base 2015=100","107.2614903"
"AHA04","Agricultural Input and Output Price Indices","2021","2021","029","Other goods and services","Base 2015=100","106.3280296"
